lat,lon,score,elevation_mean,slope_mean,avg_illumination_pct,illumination_min_pct,psr_fraction,earth_visibility_pct
-84.692,22.362,1.0,4838.462,2.699,39.263,28.459,0.0,77.072
-84.75,22.624,0.999,4908.387,4.298,39.827,19.527,0.0,83.835
-84.852,-13.566,0.999,-860.501,4.302,36.206,33.345,0.0,78.18
-83.909,54.013,0.999,892.498,4.314,35.243,30.691,0.0,79.605
-85.334,-15.403,0.999,1348.872,4.088,35.651,18.77,0.0,71.404
-85.127,-12.818,0.999,42.209,2.887,37.843,25.491,0.0,73.698
-84.792,22.437,0.999,4887.854,4.303,39.759,21.098,0.0,66.98
-85.087,27.143,0.999,4915.925,4.373,37.958,18.594,0.0,65.915
-84.896,-15.888,0.999,-594.062,3.899,38.123,32.337,0.0,79.94
-84.837,-14.249,0.999,-898.049,3.423,36.159,33.947,0.0,75.692
